rule_id,category,qty_min,qty_max,discount_pct,version
QD-SIGN-T1,SIGN,1,4,0,v1_2026-02-23
QD-SIGN-T2,SIGN,5,9,8,v1_2026-02-23
QD-SIGN-T3,SIGN,10,24,17,v1_2026-02-23
QD-SIGN-T4,SIGN,25,,23,v1_2026-02-23
QD-BANNER-T1,BANNER,1,4,0,v1_2026-02-23
QD-BANNER-T2,BANNER,5,9,5,v1_2026-02-23
QD-BANNER-T3,BANNER,10,24,10,v1_2026-02-23
QD-BANNER-T4,BANNER,25,,15,v1_2026-02-23
QD-RIGID-T1,RIGID,1,4,0,v1_2026-02-23
QD-RIGID-T2,RIGID,5,9,3,v1_2026-02-23
QD-RIGID-T3,RIGID,10,24,5,v1_2026-02-23
QD-RIGID-T4,RIGID,25,,8,v1_2026-02-23
QD-FOAMBOARD-T1,FOAMBOARD,1,4,0,v1_2026-02-23
QD-FOAMBOARD-T2,FOAMBOARD,5,9,8,v1_2026-02-23
QD-FOAMBOARD-T3,FOAMBOARD,10,24,12,v1_2026-02-23
QD-FOAMBOARD-T4,FOAMBOARD,25,,15,v1_2026-02-23
