Campaign,Ad group,Status
GOOG_Search_TC_CoreProducts_2026,Coroplast Signs,ENABLED
GOOG_Search_TC_CoreProducts_2026,Stickers and Labels,ENABLED
GOOG_Search_TC_CoreProducts_2026,Vinyl Banners,ENABLED
GOOG_Search_TC_CoreProducts_2026,Business Cards,ENABLED
GOOG_Search_TC_CoreProducts_2026,Flyers,ENABLED
GOOG_Search_TC_CoreProducts_2026,Retractable Banners,ENABLED
GOOG_Search_TC_CoreProducts_2026,Rush and Same Day,ENABLED
GOOG_Search_TC_CoreProducts_2026,Generic Print Price,ENABLED
GOOG_Search_TC_CoreProducts_2026,Generic Sign Shop,ENABLED
GOOG_Search_TC_CoreProducts_2026,Decals,ENABLED
GOOG_Search_TC_CoreProducts_2026,Large Format Printing,ENABLED
GOOG_Search_TC_CompetitorConquest_2026,Comparison - Qwik Signs,ENABLED
GOOG_Search_TC_CompetitorConquest_2026,Comparison - Minuteman Press,ENABLED
GOOG_Search_TC_CompetitorConquest_2026,Comparison - Ink House,ENABLED
GOOG_Search_TC_CompetitorConquest_2026,Comparison - Rayacom,ENABLED
GOOG_Search_TC_CompetitorConquest_2026,Comparison - 24 Hour Signs,ENABLED
GOOG_Search_TC_CompetitorConquest_2026,Comparison - Anytime Printing,ENABLED
GOOG_Search_TC_CompetitorConquest_2026,Comparison - PGI Printers,ENABLED
GOOG_Search_TC_CompetitorConquest_2026,Comparison - Staples Printing,ENABLED
GOOG_Search_TC_CompetitorConquest_2026,Comparison - Vistaprint,ENABLED
GOOG_Search_TC_CompetitorConquest_2026,Comparison - Print Baron,ENABLED
GOOG_Search_TC_CompetitorConquest_2026,Comparison - Mister Print,ENABLED
GOOG_Search_TC_CompetitorConquest_2026,Comparison - Labels Made Easy,ENABLED
GOOG_Search_TC_BrandDefense_2026,True Color Brand,PAUSED
