Campaign,Ad group,Keyword,Type
GOOG_Search_TC_CoreProducts_2026,,"""qwik signs""",Campaign negative
GOOG_Search_TC_CoreProducts_2026,,"""minuteman press saskatoon""",Campaign negative
GOOG_Search_TC_CoreProducts_2026,,"""ink house saskatoon""",Campaign negative
GOOG_Search_TC_CoreProducts_2026,,"""rayacom saskatoon""",Campaign negative
GOOG_Search_TC_CoreProducts_2026,,"""24 hour signs""",Campaign negative
GOOG_Search_TC_CoreProducts_2026,,"""anytime printing""",Campaign negative
GOOG_Search_TC_CoreProducts_2026,,"""pgi printers""",Campaign negative
GOOG_Search_TC_CoreProducts_2026,,"""staples printing saskatoon""",Campaign negative
GOOG_Search_TC_CoreProducts_2026,,"""vistaprint saskatoon""",Campaign negative
GOOG_Search_TC_CoreProducts_2026,Coroplast Signs,"""stickers""",Negative
GOOG_Search_TC_CoreProducts_2026,Coroplast Signs,"""labels""",Negative
GOOG_Search_TC_CoreProducts_2026,Coroplast Signs,"""vinyl banner""",Negative
GOOG_Search_TC_CoreProducts_2026,Coroplast Signs,"""business cards""",Negative
GOOG_Search_TC_CoreProducts_2026,Coroplast Signs,"""flyers""",Negative
GOOG_Search_TC_CoreProducts_2026,Coroplast Signs,"""retractable banner""",Negative
GOOG_Search_TC_CoreProducts_2026,Stickers and Labels,"""coroplast""",Negative
GOOG_Search_TC_CoreProducts_2026,Stickers and Labels,"""vinyl banner""",Negative
GOOG_Search_TC_CoreProducts_2026,Stickers and Labels,"""business cards""",Negative
GOOG_Search_TC_CoreProducts_2026,Stickers and Labels,"""flyers""",Negative
GOOG_Search_TC_CoreProducts_2026,Stickers and Labels,"""retractable banner""",Negative
GOOG_Search_TC_CoreProducts_2026,Vinyl Banners,"""coroplast""",Negative
GOOG_Search_TC_CoreProducts_2026,Vinyl Banners,"""stickers""",Negative
GOOG_Search_TC_CoreProducts_2026,Vinyl Banners,"""labels""",Negative
GOOG_Search_TC_CoreProducts_2026,Vinyl Banners,"""business cards""",Negative
GOOG_Search_TC_CoreProducts_2026,Vinyl Banners,"""flyers""",Negative
GOOG_Search_TC_CoreProducts_2026,Vinyl Banners,"""retractable banner""",Negative
GOOG_Search_TC_CoreProducts_2026,Business Cards,"""coroplast""",Negative
GOOG_Search_TC_CoreProducts_2026,Business Cards,"""stickers""",Negative
GOOG_Search_TC_CoreProducts_2026,Business Cards,"""labels""",Negative
GOOG_Search_TC_CoreProducts_2026,Business Cards,"""vinyl banner""",Negative
GOOG_Search_TC_CoreProducts_2026,Business Cards,"""flyers""",Negative
GOOG_Search_TC_CoreProducts_2026,Business Cards,"""retractable banner""",Negative
GOOG_Search_TC_CoreProducts_2026,Flyers,"""coroplast""",Negative
GOOG_Search_TC_CoreProducts_2026,Flyers,"""stickers""",Negative
