Campaign,Ad group,Ad group ID,Audience type,Audience ID,Audience name,Mode,Bid only
GOOG_Search_TC_CoreProducts_2026,Coroplast Signs,197192347366,In-market (user_interest),80519,Business Printing & Document Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Coroplast Signs,197192347366,In-market (user_interest),80516,Photo Printing Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Coroplast Signs,197192347366,In-market (user_interest),80517,Advertising & Marketing Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Coroplast Signs,197192347366,In-market (user_interest),80463,Business Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Coroplast Signs,197192347366,Remarketing (user_list),9446693977,All visitors (AdWords),OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Stickers and Labels,197192347406,In-market (user_interest),80519,Business Printing & Document Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Stickers and Labels,197192347406,In-market (user_interest),80516,Photo Printing Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Stickers and Labels,197192347406,In-market (user_interest),80517,Advertising & Marketing Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Stickers and Labels,197192347406,In-market (user_interest),80463,Business Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Stickers and Labels,197192347406,Remarketing (user_list),9446693977,All visitors (AdWords),OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Vinyl Banners,197192347566,In-market (user_interest),80519,Business Printing & Document Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Vinyl Banners,197192347566,In-market (user_interest),80516,Photo Printing Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Vinyl Banners,197192347566,In-market (user_interest),80517,Advertising & Marketing Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Vinyl Banners,197192347566,In-market (user_interest),80463,Business Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Vinyl Banners,197192347566,Remarketing (user_list),9446693977,All visitors (AdWords),OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Business Cards,197192347606,In-market (user_interest),80519,Business Printing & Document Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Business Cards,197192347606,In-market (user_interest),80516,Photo Printing Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Business Cards,197192347606,In-market (user_interest),80517,Advertising & Marketing Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Business Cards,197192347606,In-market (user_interest),80463,Business Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Business Cards,197192347606,Remarketing (user_list),9446693977,All visitors (AdWords),OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Flyers,197192347646,In-market (user_interest),80519,Business Printing & Document Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Flyers,197192347646,In-market (user_interest),80516,Photo Printing Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Flyers,197192347646,In-market (user_interest),80517,Advertising & Marketing Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Flyers,197192347646,In-market (user_interest),80463,Business Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Flyers,197192347646,Remarketing (user_list),9446693977,All visitors (AdWords),OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Retractable Banners,197192347806,In-market (user_interest),80519,Business Printing & Document Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Retractable Banners,197192347806,In-market (user_interest),80516,Photo Printing Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Retractable Banners,197192347806,In-market (user_interest),80517,Advertising & Marketing Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Retractable Banners,197192347806,In-market (user_interest),80463,Business Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Retractable Banners,197192347806,Remarketing (user_list),9446693977,All visitors (AdWords),OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Rush and Same Day,197192347846,In-market (user_interest),80519,Business Printing & Document Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Rush and Same Day,197192347846,In-market (user_interest),80516,Photo Printing Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Rush and Same Day,197192347846,In-market (user_interest),80517,Advertising & Marketing Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Rush and Same Day,197192347846,In-market (user_interest),80463,Business Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Rush and Same Day,197192347846,Remarketing (user_list),9446693977,All visitors (AdWords),OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Generic Print Price,197192347886,In-market (user_interest),80519,Business Printing & Document Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Generic Print Price,197192347886,In-market (user_interest),80516,Photo Printing Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Generic Print Price,197192347886,In-market (user_interest),80517,Advertising & Marketing Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Generic Print Price,197192347886,In-market (user_interest),80463,Business Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Generic Print Price,197192347886,Remarketing (user_list),9446693977,All visitors (AdWords),OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Generic Sign Shop,197192348046,In-market (user_interest),80519,Business Printing & Document Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Generic Sign Shop,197192348046,In-market (user_interest),80516,Photo Printing Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Generic Sign Shop,197192348046,In-market (user_interest),80517,Advertising & Marketing Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Generic Sign Shop,197192348046,In-market (user_interest),80463,Business Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Generic Sign Shop,197192348046,Remarketing (user_list),9446693977,All visitors (AdWords),OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Photo Posters,197370354845,In-market (user_interest),80519,Business Printing & Document Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Photo Posters,197370354845,In-market (user_interest),80516,Photo Printing Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Photo Posters,197370354845,In-market (user_interest),80517,Advertising & Marketing Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Photo Posters,197370354845,In-market (user_interest),80463,Business Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Photo Posters,197370354845,Remarketing (user_list),9446693977,All visitors (AdWords),OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Boat Registration Decals,199625721792,In-market (user_interest),80519,Business Printing & Document Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Boat Registration Decals,199625721792,In-market (user_interest),80516,Photo Printing Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Boat Registration Decals,199625721792,In-market (user_interest),80517,Advertising & Marketing Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Boat Registration Decals,199625721792,In-market (user_interest),80463,Business Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Boat Registration Decals,199625721792,Remarketing (user_list),9446693977,All visitors (AdWords),OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Decals,200550934762,In-market (user_interest),80519,Business Printing & Document Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Decals,200550934762,In-market (user_interest),80516,Photo Printing Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Decals,200550934762,In-market (user_interest),80517,Advertising & Marketing Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Decals,200550934762,In-market (user_interest),80463,Business Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Decals,200550934762,Remarketing (user_list),9446693977,All visitors (AdWords),OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Vehicle Decals,200731192282,In-market (user_interest),80519,Business Printing & Document Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Vehicle Decals,200731192282,In-market (user_interest),80516,Photo Printing Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Vehicle Decals,200731192282,In-market (user_interest),80517,Advertising & Marketing Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Vehicle Decals,200731192282,In-market (user_interest),80463,Business Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Vehicle Decals,200731192282,Remarketing (user_list),9446693977,All visitors (AdWords),OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Large Format Printing,201694453809,In-market (user_interest),80519,Business Printing & Document Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Large Format Printing,201694453809,In-market (user_interest),80516,Photo Printing Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Large Format Printing,201694453809,In-market (user_interest),80517,Advertising & Marketing Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Large Format Printing,201694453809,In-market (user_interest),80463,Business Services,OBSERVATION,true
GOOG_Search_TC_CoreProducts_2026,Large Format Printing,201694453809,Remarketing (user_list),9446693977,All visitors (AdWords),OBSERVATION,true
